,brick_id,delivery_nr,brick_format,brick_original_dimensions (mm),brick_origin,brick_distance (km),age (y),colour name,turn_nr,mortar rests (%),colour rests (%),R,G,B,lu (mm),wu (mm),hu (mm),volume (%),colour_clusters
243,244,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.31,0.01,229,207,142,257.1,120.0,67.1,1.06,1
244,245,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.38,0.08,223,145,121,256.5,124.8,67.1,1.1,3
245,246,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.09,0.08,229,192,121,260.3,116.0,68.0,1.05,4
246,247,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.4,0.01,229,203,145,260.3,115.4,62.3,0.96,9
247,248,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.6,0.01,229,197,151,248.9,122.8,62.6,0.98,7
248,249,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.38,0.01,229,197,121,239.8,116.3,67.3,0.96,4
249,250,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.23,0.01,229,203,145,256.8,119.7,62.7,0.99,9
250,251,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.32,0.01,229,197,151,253.3,120.7,66.2,1.04,7
251,252,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.35,0.01,182,121,93,245.7,120.0,68.0,1.03,5
252,253,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.23,0.12,229,197,151,239.8,125.2,66.5,1.02,7
253,254,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.09,0.01,203,183,115,254.9,121.5,67.5,1.07,0
254,255,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.47,0.01,151,115,103,257.5,123.4,62.3,1.02,2
255,256,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.25,0.1,223,145,121,243.6,116.4,66.1,0.96,3
256,257,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.3,0.01,229,192,121,261.7,124.6,63.2,1.06,4
257,258,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.14,0.08,229,197,151,255.3,123.9,63.2,1.03,7
258,259,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.42,0.14,229,192,121,250.5,118.7,64.5,0.98,4
259,260,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.21,0.11,151,115,103,254.4,124.3,67.4,1.09,2
260,261,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.09,0.01,229,203,145,245.5,121.6,63.2,0.97,9
261,262,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.25,0.01,229,194,144,243.4,124.9,65.3,1.02,8
262,263,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.23,0.01,229,167,116,246.5,118.3,62.9,0.94,6
263,264,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.21,0.01,223,145,121,238.5,123.3,66.5,1.0,3
264,265,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.41,0.01,229,167,116,250.7,120.0,61.9,0.95,6
265,266,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.22,0.01,229,167,116,240.1,114.2,64.8,0.91,6
266,267,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.21,0.01,229,192,121,239.2,116.2,66.0,0.94,4
267,268,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.28,0.01,151,115,103,251.7,122.5,63.7,1.01,2
268,269,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.34,0.11,229,192,121,245.6,120.9,62.2,0.95,4
269,270,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.12,0.13,229,195,149,261.3,116.8,67.9,1.06,7
270,271,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.3,0.01,203,183,115,170.7,114.6,65.5,0.66,0
271,272,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.44,0.01,151,115,103,240.4,115.5,63.3,0.9,2
272,273,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.33,0.01,229,197,151,178.5,117.6,67.9,0.73,7
273,274,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.41,0.01,151,115,103,245.3,121.9,65.9,1.01,2
274,275,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.5,0.01,229,195,149,248.1,123.8,64.6,1.02,7
275,276,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.42,0.01,229,195,149,231.8,118.4,62.8,0.88,7
276,277,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.41,0.01,229,192,121,243.2,125.2,62.4,0.97,4
277,278,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.23,0.01,229,203,145,243.6,115.0,63.7,0.92,9
278,279,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.44,0.01,182,121,93,245.6,118.8,66.7,1.0,5
279,280,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.15,0.01,203,183,115,255.9,124.2,63.0,1.03,0
280,281,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.47,0.01,229,207,142,257.8,118.2,66.7,1.04,1
281,282,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.17,0.09,229,203,145,238.3,123.1,66.5,1.0,9
282,283,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.48,0.01,229,167,116,242.3,116.3,65.3,0.94,6
283,284,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.7,0.01,229,195,149,240.9,118.6,68.1,1.0,7
284,285,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.22,0.01,223,145,121,237.0,117.2,67.0,0.95,3
285,286,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.43,0.11,223,145,121,239.5,125.0,65.8,1.01,3
286,287,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.46,0.01,203,183,115,257.1,115.0,66.2,1.0,0
287,288,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.44,0.01,229,203,145,245.6,122.6,64.6,1.0,9
288,289,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.41,0.01,229,195,149,252.1,124.8,66.7,1.08,7
289,290,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.15,0.01,151,115,103,238.2,116.3,65.9,0.94,2
290,291,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.08,0.01,229,207,142,167.0,121.2,63.0,0.65,1
291,292,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.41,0.01,182,121,93,260.7,120.7,64.1,1.03,5
292,293,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.17,0.01,229,207,142,126.9,116.6,64.8,0.49,1
293,294,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.11,0.01,229,207,142,262.0,119.5,67.2,1.08,1
294,295,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.33,0.14,229,194,144,250.1,115.3,62.2,0.92,8
295,296,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.45,0.14,229,195,149,250.3,121.8,64.1,1.0,7
296,297,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.09,0.01,229,207,142,260.2,125.9,62.9,1.06,1
297,298,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.12,0.07,229,194,144,243.4,115.4,65.6,0.94,8
298,299,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.47,0.01,223,145,121,257.9,116.4,66.9,1.03,3
299,300,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.1,0.13,229,197,121,252.8,125.4,61.9,1.01,4
300,301,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.2,0.01,229,167,116,259.1,119.0,65.5,1.04,6
301,302,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.8,0.01,229,207,142,240.1,114.4,68.2,0.96,1
302,303,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.35,0.12,229,195,149,240.9,119.5,65.7,0.97,7
303,304,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.33,0.12,229,197,121,252.8,118.5,63.4,0.97,4
304,305,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.1,0.09,229,197,121,258.1,118.0,64.6,1.01,4
305,306,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.06,0.01,229,197,121,239.9,121.3,67.1,1.0,4
306,307,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.4,0.1,203,183,115,242.8,124.0,65.5,1.01,0
307,308,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.29,0.01,229,207,142,186.6,123.5,64.1,0.76,1
308,309,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.11,0.01,229,203,145,185.3,124.2,63.9,0.75,9
309,310,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.0,0.11,229,194,144,258.6,119.8,63.2,1.0,8
