Unnamed: 0,brick_id,delivery_nr,brick_format,brick_original_dimensions (mm),brick_origin,brick_distance (km),age (y),colour name,turn_nr,mortar rests (%),colour rests (%),R,G,B,lu (mm),wu (mm),hu (mm),volume (%),colour_clusters
4927,4928,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.31,0.01,229,140,107,239.7,119.5,62.0,0.91,1
4930,4931,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.27,0.01,229,145,105,236.6,120.5,62.2,0.91,1
4931,4932,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.31,0.09,228,136,105,214.8,118.6,66.0,0.86,1
4932,4933,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.2,0.13,229,145,105,247.4,123.7,68.2,1.07,1
4934,4935,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.34,0.01,229,140,107,149.8,125.2,62.8,0.6,1
4935,4936,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.6,0.01,228,136,105,220.5,124.7,64.2,0.91,1
4938,4939,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.1,0.07,228,136,105,198.0,121.1,64.2,0.79,1
4943,4944,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.22,0.01,229,140,107,242.6,117.4,61.8,0.9,1
4944,4945,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.2,0.01,228,136,105,262.3,123.9,66.5,1.11,1
4948,4949,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.9,0.09,228,136,105,239.5,117.1,67.6,0.97,1
4950,4951,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.12,0.01,229,145,105,254.0,115.0,61.8,0.93,1
4957,4958,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.31,0.01,229,140,107,248.5,118.0,62.1,0.93,1
4963,4964,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.37,0.14,229,140,107,262.4,124.2,63.7,1.06,1
4967,4968,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.3,0.01,229,140,107,261.4,118.7,67.0,1.07,1
4982,4983,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.22,0.07,229,145,105,242.1,117.8,67.6,0.99,1
4984,4985,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.12,0.01,229,140,107,258.5,120.5,65.5,1.05,1
4991,4992,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.0,0.13,229,145,105,261.1,125.6,64.4,1.08,1
4994,4995,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.49,0.01,229,145,105,217.3,124.2,64.9,0.9,1
5003,5004,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.22,0.01,229,145,105,245.3,121.9,65.6,1.01,1
5012,5013,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.34,0.14,229,145,105,185.7,116.4,62.5,0.69,1
5016,5017,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.17,0.01,229,145,105,255.5,119.6,67.0,1.05,1
5022,5023,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.23,0.01,228,136,105,248.2,116.5,65.5,0.97,1
5023,5024,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.6,0.01,228,136,105,241.8,122.3,65.6,0.99,1
5026,5027,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.6,0.14,229,140,107,208.6,114.9,64.6,0.79,1
5037,5038,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.39,0.01,229,140,107,254.9,118.6,64.5,1.0,1
5041,5042,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.43,0.01,229,140,107,247.0,125.0,62.3,0.99,1
5044,5045,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.4,0.01,229,140,107,248.8,115.6,67.4,0.99,1
5045,5046,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.36,0.01,229,140,107,259.4,121.3,63.6,1.03,1
5053,5054,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.5,0.01,229,145,105,245.0,124.2,65.4,1.02,1
5054,5055,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.23,0.01,229,140,107,244.0,120.3,65.6,0.99,1
5059,5060,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.5,0.01,228,136,105,261.2,114.7,63.4,0.97,1
5069,5070,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.1,0.14,229,140,107,251.3,114.2,62.4,0.92,1
5076,5077,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.15,0.01,229,145,105,258.2,115.4,66.7,1.02,1
5085,5086,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.22,0.01,229,145,105,251.2,120.9,67.7,1.05,1
5086,5087,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.09,0.01,228,136,105,259.7,116.8,62.5,0.97,1
5087,5088,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.7,0.01,229,140,107,256.9,114.0,62.1,0.93,1
5091,5092,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.29,0.01,229,145,105,243.4,123.0,67.3,1.03,1
5097,5098,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.08,0.01,228,136,105,247.9,117.4,63.6,0.95,1
5098,5099,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.23,0.01,229,145,105,259.2,114.8,67.0,1.02,1
5099,5100,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.21,0.01,229,140,107,256.8,120.3,64.7,1.03,1
5100,5101,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.32,0.13,229,145,105,222.1,124.0,63.9,0.9,1
5103,5104,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.7,0.01,229,145,105,245.6,121.0,67.2,1.02,1
5104,5105,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.39,0.01,229,140,107,257.5,117.4,63.9,0.99,1
5109,5110,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.33,0.01,228,136,105,241.0,114.2,65.2,0.92,1
5111,5112,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.13,0.12,229,140,107,255.6,118.1,63.2,0.98,1
5112,5113,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.19,0.09,229,140,107,246.8,125.8,64.4,1.03,1
5113,5114,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.15,0.01,229,145,105,248.2,124.2,67.4,1.07,1
5118,5119,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.25,0.01,229,140,107,243.1,124.1,63.7,0.99,1
5121,5122,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.33,0.01,229,145,105,249.3,124.0,67.6,1.07,1
5126,5127,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.21,0.01,228,136,105,262.4,124.5,67.3,1.13,1
