Unnamed: 0,brick_id,delivery_nr,brick_format,brick_original_dimensions (mm),brick_origin,brick_distance (km),age (y),colour name,turn_nr,mortar rests (%),colour rests (%),R,G,B,lu (mm),wu (mm),hu (mm),volume (%),colour_clusters
1677,1678,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.16,0.01,229,96,63,241.6,125.9,67.4,1.05,3
1694,1695,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.1,0.01,229,96,63,252.8,118.4,63.2,0.97,3
1750,1751,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.12,0.14,229,96,63,238.8,124.1,63.6,0.97,3
1761,1762,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.42,0.01,229,96,63,218.8,120.3,65.0,0.88,3
1773,1774,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.39,0.12,229,96,63,259.3,115.1,67.1,1.03,3
1791,1792,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.25,0.01,229,96,63,238.9,117.1,64.5,0.93,3
1812,1813,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.24,0.01,229,96,63,258.0,114.3,65.7,0.99,3
1833,1834,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.09,0.01,229,96,63,184.4,116.5,64.2,0.71,3
1860,1861,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.34,0.01,229,96,63,251.5,121.9,63.5,1.0,3
1864,1865,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.39,0.01,229,96,63,242.1,118.3,64.2,0.94,3
1868,1869,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.18,0.07,229,96,63,223.2,114.6,65.5,0.86,3
1875,1876,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.06,0.01,229,96,63,256.5,122.0,65.0,1.04,3
1880,1881,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.2,0.01,229,96,63,253.5,125.4,65.9,1.07,3
1886,1887,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.16,0.11,229,96,63,212.5,116.0,65.3,0.83,3
1888,1889,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.47,0.12,229,96,63,252.0,117.2,66.0,1.0,3
1893,1894,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.41,0.01,229,96,63,249.9,119.2,64.5,0.99,3
1917,1918,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.3,0.15,229,96,63,256.7,118.0,65.2,1.01,3
1920,1921,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.45,0.14,229,96,63,258.8,116.3,63.7,0.98,3
1930,1931,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,1,0.6,0.12,229,96,63,247.4,118.5,65.0,0.98,3
1933,1934,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,2,0.05,0.01,229,96,63,257.6,115.2,66.5,1.01,3
1951,1952,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,2,0.32,0.13,229,96,63,240.6,118.4,66.6,0.97,3
1952,1953,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,2,0.2,0.01,229,96,63,245.9,120.4,64.2,0.97,3
1964,1965,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,2,0.47,0.01,229,96,63,260.9,118.4,68.1,1.08,3
1992,1993,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,2,0.8,0.01,229,96,63,247.3,124.1,62.8,0.99,3
2001,2002,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,2,0.39,0.01,229,96,63,242.3,114.5,63.9,0.91,3
2003,2004,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,2,0.5,0.09,229,96,63,257.9,122.1,67.0,1.08,3
2005,2006,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,2,0.23,0.13,229,96,63,165.9,116.9,68.1,0.68,3
2008,2009,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,2,0.08,0.01,229,96,63,258.2,115.0,67.4,1.03,3
2010,2011,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,2,0.41,0.01,229,96,63,241.0,123.4,67.3,1.03,3
2017,2018,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,2,0.22,0.01,229,96,63,238.4,115.8,68.2,0.97,3
2030,2031,2,Reichsformat,"250, 120, 65",Rosenheim,70,191,red-brown,2,0.4,0.09,229,96,63,244.1,120.0,66.3,1.0,3
