Unnamed: 0,brick_id,delivery_nr,brick_format,brick_original_dimensions (mm),brick_origin,brick_distance (km),age (y),colour name,turn_nr,mortar rests (%),colour rests (%),R,G,B,lu (mm),wu (mm),hu (mm),volume (%),colour_clusters
3603,3604,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.1,0.01,229,127,111,254.2,114.5,65.9,0.98,9
3655,3656,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.2,0.01,229,127,111,249.4,121.1,65.4,1.01,9
3659,3660,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.37,0.01,229,127,111,247.0,115.6,67.7,0.99,9
3686,3687,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.39,0.1,229,127,111,259.8,118.8,62.7,0.99,9
3697,3698,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.49,0.01,229,127,111,251.6,119.6,62.3,0.96,9
3711,3712,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.36,0.01,229,127,111,252.7,121.9,65.5,1.03,9
3717,3718,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.19,0.01,229,127,111,251.0,117.1,61.9,0.93,9
3720,3721,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.42,0.01,229,127,111,240.1,114.3,63.9,0.9,9
3722,3723,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.48,0.01,229,127,111,257.4,116.5,63.4,0.97,9
3742,3743,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.48,0.08,229,127,111,255.1,117.3,66.6,1.02,9
3761,3762,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.27,0.01,229,127,111,253.9,115.5,61.9,0.93,9
3776,3777,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.1,0.01,229,127,111,252.1,121.9,62.8,0.99,9
3780,3781,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.07,0.01,229,127,111,254.2,125.5,67.5,1.1,9
3789,3790,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.22,0.01,229,127,111,246.1,124.8,62.8,0.99,9
3792,3793,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.29,0.01,229,127,111,244.9,123.4,67.1,1.04,9
3816,3817,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.15,0.01,229,127,111,257.0,119.1,64.7,1.02,9
3819,3820,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.33,0.01,229,127,111,240.4,121.8,62.3,0.94,9
3823,3824,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.23,0.01,229,127,111,260.7,117.4,64.2,1.01,9
3827,3828,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.7,0.09,229,127,111,255.2,119.5,63.1,0.99,9
3878,3879,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.19,0.01,229,127,111,243.6,115.5,62.1,0.9,9
3902,3903,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.5,0.01,229,127,111,244.4,124.5,68.2,1.06,9
3927,3928,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.24,0.01,229,127,111,257.4,125.4,65.4,1.08,9
3928,3929,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.5,0.14,229,127,111,251.7,121.3,62.5,0.98,9
3941,3942,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.8,0.12,229,127,111,245.7,118.4,66.2,0.99,9
3942,3943,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.49,0.01,229,127,111,254.8,116.2,66.7,1.01,9
3951,3952,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.4,0.1,229,127,111,240.3,122.3,67.4,1.02,9
3957,3958,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.21,0.01,229,127,111,234.7,114.5,66.5,0.92,9
3976,3977,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.45,0.01,229,127,111,262.5,120.1,63.3,1.02,9
4007,4008,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.28,0.01,229,127,111,261.1,114.1,61.8,0.94,9
4058,4059,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.45,0.01,229,127,111,262.2,117.9,67.6,1.07,9
4100,4101,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.1,0.01,229,127,111,250.5,123.3,62.5,0.99,9
4104,4105,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.2,0.01,229,127,111,258.3,121.0,68.2,1.09,9
4117,4118,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.6,0.01,229,127,111,245.0,118.0,64.5,0.96,9
4129,4130,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.5,0.01,229,127,111,252.5,123.9,66.4,1.07,9
4131,4132,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.2,0.01,229,127,111,248.2,114.5,63.5,0.93,9
4153,4154,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.4,0.01,229,127,111,203.3,121.9,66.7,0.85,9
4213,4214,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.43,0.12,229,127,111,256.2,122.0,64.6,1.04,9
4214,4215,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.31,0.01,229,127,111,261.4,118.7,67.9,1.08,9
4224,4225,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.1,0.01,229,127,111,256.1,118.0,62.2,0.96,9
4237,4238,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.21,0.01,229,127,111,197.0,121.7,67.1,0.82,9
4248,4249,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.33,0.01,229,127,111,259.2,115.6,64.2,0.99,9
4261,4262,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.11,0.01,229,127,111,246.0,119.8,65.9,1.0,9
4262,4263,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.17,0.01,229,127,111,195.9,117.3,67.4,0.79,9
4271,4272,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.32,0.01,229,127,111,253.2,119.8,61.8,0.96,9
4284,4285,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,2,0.37,0.01,229,127,111,131.9,124.2,65.6,0.55,9
