Unnamed: 0,brick_id,delivery_nr,brick_format,brick_original_dimensions (mm),brick_origin,brick_distance (km),age (y),colour name,turn_nr,mortar rests (%),colour rests (%),R,G,B,lu (mm),wu (mm),hu (mm),volume (%),colour_clusters
6,7,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.09,0.01,229,194,144,241.6,117.3,61.8,0.9,0
9,10,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.31,0.09,229,194,144,242.0,118.5,64.0,0.94,0
25,26,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.6,0.01,229,194,144,241.8,124.8,62.7,0.97,0
34,35,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.35,0.01,229,194,144,240.3,114.9,66.3,0.94,0
54,55,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.26,0.1,229,194,144,244.7,120.3,62.7,0.95,0
57,58,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.26,0.01,229,194,144,243.8,125.3,62.4,0.98,0
58,59,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.41,0.01,229,194,144,249.0,122.7,64.4,1.01,0
63,64,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.07,0.01,229,194,144,248.4,124.5,63.5,1.01,0
111,112,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.5,0.01,229,194,144,252.9,122.0,63.0,1.0,0
162,163,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.41,0.01,229,194,144,160.9,117.1,68.2,0.66,0
165,166,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.09,0.01,229,194,144,243.5,117.3,62.7,0.92,0
189,190,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.18,0.01,229,194,144,245.3,114.6,67.3,0.97,0
230,231,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,1,0.29,0.1,229,194,144,142.4,117.6,65.0,0.56,0
261,262,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.25,0.01,229,194,144,243.4,124.9,65.3,1.02,0
294,295,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.33,0.14,229,194,144,250.1,115.3,62.2,0.92,0
297,298,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.12,0.07,229,194,144,243.4,115.4,65.6,0.94,0
309,310,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.0,0.11,229,194,144,258.6,119.8,63.2,1.0,0
315,316,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.41,0.01,229,194,144,258.8,119.2,65.3,1.03,0
332,333,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.26,0.01,229,194,144,241.5,121.8,64.2,0.97,0
336,337,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.6,0.01,229,194,144,246.5,124.4,62.7,0.99,0
348,349,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.45,0.01,229,194,144,257.4,120.1,68.0,1.08,0
353,354,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.48,0.1,229,194,144,248.8,125.0,67.3,1.07,0
354,355,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.31,0.01,229,194,144,247.8,125.4,67.3,1.07,0
362,363,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.25,0.01,229,194,144,254.8,123.9,64.4,1.04,0
369,370,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.45,0.01,229,194,144,242.8,117.5,65.6,0.96,0
379,380,1,Reichsformat,"250, 120, 65",Erding,43,79,beige,2,0.2,0.1,229,194,144,241.2,120.7,62.0,0.93,0
