,brick_id,delivery_nr,brick_format,brick_original_dimensions (mm),brick_origin,brick_distance (km),age (y),colour name,turn_nr,mortar rests (%),colour rests (%),R,G,B,lu (mm),wu (mm),hu (mm),volume (%),colour_clusters
3579,3580,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.7,0.01,228,136,105,243.3,120.0,64.8,0.97,1
3580,3581,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.07,0.01,207,104,77,250.5,120.1,62.2,0.96,5
3581,3582,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.36,0.13,191,87,72,250.7,119.2,64.5,0.99,0
3582,3583,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.14,0.12,160,76,67,257.2,120.8,64.7,1.03,3
3583,3584,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.08,0.01,122,49,53,258.6,122.9,66.1,1.08,2
3584,3585,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.7,0.01,229,140,97,256.1,118.3,66.0,1.03,8
3585,3586,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.31,0.08,229,140,107,253.8,117.6,66.2,1.01,1
3586,3587,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.12,0.01,122,49,53,245.1,117.5,67.0,0.99,2
3587,3588,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.19,0.01,229,140,97,254.5,119.4,66.3,1.03,8
3588,3589,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.26,0.01,179,104,70,235.6,115.8,65.8,0.92,7
3589,3590,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.24,0.01,229,140,97,250.5,124.8,62.1,1.0,8
3590,3591,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.34,0.01,229,102,103,239.1,123.1,66.3,1.0,4
3591,3592,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.42,0.08,156,73,62,248.9,122.1,62.3,0.97,3
3592,3593,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.36,0.01,229,140,97,257.1,116.9,63.5,0.98,8
3593,3594,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.36,0.01,229,102,103,134.9,120.0,66.6,0.55,4
3594,3595,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.15,0.01,229,145,105,255.0,114.1,64.2,0.96,1
3595,3596,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.26,0.01,229,145,105,239.2,124.4,66.7,1.02,1
3596,3597,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.42,0.01,160,76,67,247.7,115.8,65.3,0.96,3
3597,3598,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.11,0.01,229,140,107,257.8,117.4,64.3,1.0,1
3598,3599,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.41,0.1,156,73,62,237.7,125.7,64.2,0.98,3
3599,3600,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.1,0.01,228,136,105,244.8,124.3,65.1,1.02,1
3600,3601,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.5,0.01,160,76,67,260.1,120.4,62.7,1.01,3
3601,3602,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.32,0.01,179,104,70,262.3,123.1,66.9,1.11,7
3602,3603,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.3,0.01,229,102,103,244.0,117.0,64.0,0.94,4
3603,3604,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.1,0.01,229,127,111,254.2,114.5,65.9,0.98,9
3604,3605,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.43,0.01,207,104,77,243.0,114.8,62.2,0.89,5
3605,3606,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.06,0.01,228,136,105,250.2,124.9,63.6,1.02,1
3606,3607,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.13,0.01,156,73,62,254.1,122.6,65.6,1.05,3
3607,3608,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.3,0.07,191,87,72,188.5,124.7,63.3,0.76,0
3608,3609,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.16,0.01,207,104,77,249.8,121.6,65.1,1.01,5
3609,3610,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.8,0.1,229,102,103,259.2,119.4,68.0,1.08,4
3610,3611,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.4,0.01,229,140,107,258.7,120.7,66.8,1.07,1
3611,3612,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.44,0.01,207,104,77,237.8,120.3,67.6,0.99,5
3612,3613,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.2,0.09,160,76,67,238.2,119.3,63.4,0.92,3
3613,3614,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.4,0.1,229,140,107,255.1,117.3,65.3,1.0,1
3614,3615,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.0,0.01,149,95,67,144.9,114.5,62.1,0.53,6
3615,3616,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.36,0.01,149,95,67,249.6,114.1,66.3,0.97,6
3616,3617,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.49,0.01,122,49,53,249.6,125.2,62.0,0.99,2
3617,3618,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.3,0.01,229,140,97,255.3,120.5,62.8,0.99,8
3618,3619,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.11,0.09,122,49,53,252.7,125.0,63.4,1.03,2
3619,3620,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.25,0.01,228,136,105,243.1,118.1,67.1,0.99,1
3620,3621,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.43,0.13,229,140,97,245.0,124.4,63.7,1.0,8
3621,3622,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.17,0.01,156,73,62,255.9,120.2,61.8,0.97,3
3622,3623,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.48,0.01,229,140,107,258.6,124.1,62.1,1.02,1
3623,3624,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.49,0.01,160,76,67,239.3,119.4,66.5,0.97,3
3624,3625,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.16,0.01,229,102,103,241.1,120.0,64.1,0.95,4
3625,3626,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.26,0.01,160,76,67,160.9,124.1,67.7,0.69,3
3626,3627,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.09,0.01,149,95,67,259.5,124.1,66.5,1.1,6
3627,3628,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.0,0.01,122,49,53,254.6,121.9,63.8,1.02,2
3628,3629,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.35,0.01,122,49,53,167.5,125.8,63.8,0.69,2
3629,3630,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.39,0.01,229,102,103,195.5,114.2,66.4,0.76,4
3630,3631,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.4,0.01,229,102,103,254.4,114.2,62.4,0.93,4
3631,3632,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.06,0.08,228,136,105,244.6,123.7,62.5,0.97,1
3632,3633,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.3,0.1,149,95,67,239.6,114.6,65.3,0.92,6
3633,3634,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.11,0.01,207,104,77,250.7,125.1,63.1,1.01,5
3634,3635,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.18,0.14,122,49,53,253.8,121.1,64.5,1.02,2
3635,3636,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.19,0.13,229,140,107,238.4,119.6,63.4,0.93,1
3636,3637,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.9,0.01,179,104,70,240.1,124.4,63.5,0.97,7
3637,3638,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.05,0.01,229,145,105,242.2,115.6,67.7,0.97,1
3638,3639,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.42,0.01,229,102,103,232.3,123.8,62.8,0.93,4
3639,3640,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.27,0.08,179,104,70,252.8,117.8,64.0,0.98,7
3640,3641,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.32,0.09,191,87,72,256.5,121.2,68.0,1.08,0
3641,3642,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.42,0.01,149,95,67,249.7,115.8,66.8,0.99,6
3642,3643,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.26,0.07,149,95,67,253.6,119.4,65.3,1.01,6
3643,3644,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.4,0.07,229,102,103,258.8,117.8,61.8,0.97,4
3644,3645,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.36,0.01,207,104,77,249.0,117.0,65.1,0.97,5
3645,3646,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.1,0.15,229,140,107,258.3,119.0,65.9,1.04,1
3646,3647,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.49,0.01,207,104,77,234.1,124.6,66.5,0.99,5
3647,3648,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.23,0.01,229,140,97,250.6,125.4,64.1,1.03,8
3648,3649,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.22,0.01,229,140,97,242.9,120.1,65.3,0.98,8
3649,3650,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.48,0.08,207,104,77,250.7,119.8,67.8,1.04,5
3650,3651,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.2,0.01,229,140,97,250.6,122.4,65.1,1.02,8
3651,3652,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.17,0.01,160,76,67,258.4,125.4,67.1,1.12,3
3652,3653,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.12,0.13,191,87,72,256.7,119.3,63.3,0.99,0
3653,3654,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.4,0.01,191,87,72,237.9,122.4,63.8,0.95,0
3654,3655,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.41,0.01,160,76,67,240.1,125.3,64.4,0.99,3
3655,3656,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.2,0.01,229,127,111,249.4,121.1,65.4,1.01,9
3656,3657,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.34,0.01,191,87,72,246.1,123.5,66.0,1.03,0
3657,3658,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.43,0.01,156,73,62,242.3,123.7,64.9,1.0,3
3658,3659,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.08,0.01,229,140,97,188.6,125.6,62.7,0.76,8
3659,3660,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.37,0.01,229,127,111,247.0,115.6,67.7,0.99,9
3660,3661,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.4,0.01,179,104,70,241.3,117.9,66.9,0.98,7
3661,3662,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.3,0.01,229,140,97,238.2,120.6,64.4,0.95,8
3662,3663,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.47,0.09,229,145,105,165.0,114.3,66.3,0.64,1
3663,3664,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.22,0.01,156,73,62,252.5,114.5,64.9,0.96,3
3664,3665,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.1,0.15,229,140,97,257.8,124.7,64.4,1.06,8
3665,3666,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.21,0.01,229,145,105,241.9,124.3,62.6,0.97,1
3666,3667,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.26,0.01,228,136,105,226.4,121.1,63.9,0.9,1
3667,3668,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.27,0.01,229,140,97,249.7,125.8,63.7,1.03,8
3668,3669,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.15,0.01,229,140,97,241.2,122.5,62.5,0.95,8
3669,3670,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.07,0.01,228,136,105,252.6,125.5,65.8,1.07,1
3670,3671,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.08,0.13,229,145,105,248.7,125.5,68.2,1.09,1
3671,3672,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.39,0.09,207,104,77,253.6,114.3,63.0,0.94,5
3672,3673,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.48,0.01,229,102,103,244.3,125.6,65.3,1.03,4
3673,3674,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.08,0.08,179,104,70,241.7,120.2,62.9,0.94,7
3674,3675,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.18,0.11,191,87,72,240.2,124.0,63.8,0.97,0
3675,3676,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.29,0.01,191,87,72,252.6,125.8,64.5,1.05,0
3676,3677,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.2,0.01,229,102,103,247.6,124.6,65.1,1.03,4
3677,3678,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.35,0.01,229,145,105,240.2,116.6,62.9,0.9,1
3678,3679,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.7,0.01,207,104,77,240.1,116.9,67.2,0.97,5
3679,3680,3,Reichsformat,"250, 120, 65",Donauwoerth,116,94,light_red,1,0.43,0.01,228,136,105,248.2,125.7,67.9,1.09,1
